101,dia pernah menyatakan dukungan ke pks dan pasangan asyik. sejak itu lah ustadz hanan mulai “diperhatikan” mereka https://t.co/sbaxrg1hcl,ekwardo
102,"lirik lagu i love you 3000 dari stephamie poetri

https://t.co/dnbvzt5oin

#nolakhalus #85jutarakyattolakjokowi #liuyifei bali hanan attaki",LirikGo
103,"@dahnilanzar gak usah ngomong semua nil.
coba kau data di kelompok mu yg ngaku ustadz berapa &amp; yg benar2 ustadz ada berapa

tp sebelumnya kau pelajari dulu syarat dan kriteria seseorg itu boleh disebut ustadz.

stlh itu terserah kau mau hapus twit ini atau beri data ""ustadz"" di kubu mu",Grand_Light88
104,"banser tolak ust. hanan attaqi, apa alasannya? https://t.co/r3ixm3ji5e",yusronhd
105,"sepakat....mbok ya ikut ngaji bareng biar tau, dikit2 bubarin ... 

klo mau bubarin mah noh yg legalin miras, diam2 ja.... https://t.co/pupcafcdtm",rafiudinfirdaus
106,"ngajak belanja di toko pribumi, ustadz anang diciduk polisi https://t.co/qgc3uqrdgc",yusronhd
107,"@ustadtengkuzul oiii zull,, lu dulu belajar agama dimana ? pernah mondok ?? ngaji aja cuman di yutub, sok2an pingin dipanggil ustadz, malu2in agama islam aja lu zul,, pakai alamat akun dgn embel ust,, kagak paham kitab pingin dipanggil ulama,, .. dasar orang gila ngaku2 udtadz",RahmadA26900740
108,"@taufikefendi27 all brothers

nu
muhammadiyah
pks
persis
gp ansor
banser
kokam
fpi

mereka semua hny kendaraan.
kendaraan u/ memperjuangkan nilai islam
*islam* mutlaklah yg hrs diikuti melalui al qur'an &amp; sunnahnya

tp jikalau kendaraan tsb menyimpang, ingatkanlah kl mampu. tp kl tdk.. turunlah",ArvinoAri
109,"@pemikir5 serang aj saya setuju tugas banser mengayomi bukan melarang
#85jutarakyattolakjokowi",riomarti55
110,banser fokus bubarin pengajian beda mahzab namun rahmah sama israel ataupun papua merdeka,mas_mpank
111,"tanpa mengkaitkannya dengan politik, dengan terjadinya problem ini ternyata bangsa kita sedang tidak baik-baik saja. 
setiap kebaikan akan menemukan jalannya sendiri, remains a source of goodness, ustadz hanan attaki 🙏",dendi_cules
112,"@abashchow @dahnilanzar justru gw senang denger tausiah ust hanan attaki,kl gw di bandung sslalu sempat hadir ..sampai gank motor aja banyak juga yg hadir..",rafifualiaya
113,"yang selembut ustadz hanan attaki aja ditolak, ceramah nya umum bahkan banyak menjurus ke pernikahan dibilang provokatif, memang lah grup seberang ni",rioputrabahgia
114,cintaaa banget banget banget sama ustadz hanan attaki 💞,AkuYangDisana_
115,"disiarkan langsung dari masjid raya mujahidin bersama ustadz dr. h. didi m nur haris di program #tausiyahzhuhur yang akan memberikan pembahasan mengenai ""amalan sederhana yang menjamin menghapus dosa"". https://t.co/seg25ekpmd",mujahidinfm
116,@si_ulpeh @mudjib_trisatya buat acara dangdutan aja biar di kawal banser ya kan @gpansor_satu,AntiMajos_
117,"fokuskan diri kepada penilaian allah terhadap diri kita
.
silahkan share dan repost
jazakallahu khairan ustadz @maududiabdullah
https://t.co/8i1tnmgqz5 https://t.co/kyiejb6ory",muplihjamal
118,"padahal di nu ada ahwalnya, jadi penyikapan nahi munkarnya terlihat lebih fleksibel. tp ngehadepin kajian² 'radikal' ahwal²nya gk dipake, banser gusrak gusruk langsung bubarin kajian.
bingung saya tuh :(",barizhilmi
119,@dahnilanzar sudah kalah pikirannya miring jg kau. perhatikan dulu isi materi si ustad abalabal itu psti merusak isinya. g mgkn banser mencegah kl g rusak. kau kliatannya sepemikiran dg yg rusak2. ada apa dg kau?,wbintoro101209
120,"banser tolak ust. hanan attaki, apa alasannya? https://t.co/ndonygmuqi lewat @repelitaonline",RepelitaOnline
121,pengajian ustaz hanan attaki di tegal digagalkan gp ansor https://t.co/vl1z7oyp6b https://t.co/wvg9dllten,KakaLebah
122,pengajian ustaz hanan attaki di tegal digagalkan gp ansor https://t.co/oe9lcemdfl https://t.co/uwxofupau3,temlenku
123,"geliat dakwah ustadz hanan attaki: inspiratif, digemari dan sedikit politis https://t.co/lsj1wavkgi https://t.co/xpsnjjbetm",islamidotco
124,"beberapa kali hadir dalam kajian ustadz hanan attaki, di masjid al-lathif dan masjid tsm bandung. dalam dakwahnya beliau selalu mengajak anak muda untuk lebih baik, no judgement dan selalu adem suasananya. aneh rasanya di tegal dakwah beliau di tolak, sabar ustadz. https://t.co/3pq5svnlcz",aminullahherdin
